"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CDP24220.1",5139.77155559506,5.20960536538678,1.06437398537912,4.89452526738631,9.85433158530153e-07,0.0023970661581246
"AIQ68068.1",1266.91739167651,4.72513001174657,0.68321353929558,6.9160368464278,4.6445364335084e-12,4.51913394980368e-08
"ADH63307.1",1817.03512262375,-3.80920386284605,0.683206114636793,-5.57548268558911,2.46844459300839e-08,0.000120089829449858
"ANW12270.1",375.820332801001,-3.39482910005657,0.800907800214151,-4.23872647906394,2.24791334931237e-05,0.010415331851814
"ACI52536.1",650.360700505064,-3.26260899081074,0.597247751073228,-5.46273968373756,4.68841870998808e-08,0.00015206104682728
"AJE26316.1",211.591806658821,3.08685846451302,0.843232476456847,3.66074427954151,0.00025148365933335,0.0440198009886002
"ACF82824.1",9209.64632420582,-3.07401577302306,0.753989636540433,-4.07700003295499,4.56204863156902e-05,0.0158531189947024
"AFY26879.1",1920.61498811991,3.01435077235299,0.784557270516621,3.84210418490938,0.000121984033248898,0.0289488937441897
"ADT91959.1",872.602276724602,-2.89123794879451,0.633119801492923,-4.56665222281288,4.95575193936346e-06,0.00688849519571522
"ACF84607.1",4136.0560890014,-2.83119357247391,0.657812414547427,-4.30395278328969,1.67777435554662e-05,0.00983332088819291
"APK41654.1",316.237534599816,-2.81116356305136,0.662463285604311,-4.24350092169556,2.2005946866279e-05,0.010415331851814
"AAI42133.1",1817.46889132132,-2.80975394909013,0.627164217314529,-4.48009288718877,7.46105623874772e-06,0.0084121884864684
"APK17958.1",309.397949263442,-2.78914306714454,0.629884845178514,-4.42802059534244,9.510182256028e-06,0.0084121884864684
"CDO72503.1",707.330474728925,-2.7528961102306,0.72405663239216,-3.8020452918655,0.000143506484189231,0.0317345020718458
"CCB73848.1",783.10846172311,-2.74440086570588,0.66874556383117,-4.1038042181297,4.06411427716537e-05,0.0158531189947024
"AEW93494.1",764.05400292212,-2.72244846912198,0.67291090486957,-4.04577849670852,5.21495261715216e-05,0.0167886032388265
"AHY10202.1",315.862312323298,-2.71770069495883,0.668232662220206,-4.06699769198539,4.76227145382871e-05,0.0159782418088805
"AHC24364.1",767.032137575482,-2.71104189537915,0.590600151088727,-4.59031696890281,4.42573403158766e-06,0.00688849519571522
"ADG87543.1",1441.97527852634,-2.70032105559264,0.683547073322447,-3.95045368633863,7.8003191449642e-05,0.0216848872230005
