"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABM04928.1",13101.2120009626,-10.8259923663473,1.03387671966729,-10.4712604127804,1.17073675283543e-25,9.75359075331906e-22
"ADG93377.1",16774.4895755095,8.68732488116572,1.3385558801449,6.49007262978466,8.57950038445694e-11,2.8564091872094e-08
"AEF27231.1",38168.9852949748,8.64141631651556,1.14675971970648,7.53550736742603,4.86439725035489e-14,5.35147146198826e-11
"AKK05637.1",833.162187095821,-8.36452951716463,1.16368484773108,-7.18796805980038,6.57626403814013e-13,4.49727591775837e-10
"ACS57135.1",2903.54810515811,8.3263092395813,1.48865964816336,5.59315841593066,2.2297566975495e-08,3.97320659986584e-06
"ADW69716.1",28254.2712562455,8.24793146608961,1.76568063908629,4.671247610416,2.99375789763678e-06,0.000283711820538964
"ACE84027.1",6754.33525639732,8.15150646034697,1.53516135796991,5.30986949223792,1.09703762426043e-07,1.64250550335277e-05
"ABW29834.1",599.391994164112,-8.07455862098271,1.0105809842108,-7.99001638378185,1.34920821921485e-15,1.89661197615519e-12
"ABC02171.1",9077.28909425327,7.8415389426207,0.951195173847846,8.24388007657726,1.66714251301825e-16,3.83488245517279e-13
"AEI03313.1",20494.4437605358,-7.73975015932661,0.61982427033872,-12.4870072530348,8.78982349845259e-36,2.22408903981346e-31
"ACT96036.1",13623.5677426145,7.6561367494238,1.27656579476571,5.99744782510715,2.0044273591512e-09,4.65302985950484e-07
"ACT95943.1",4318.32000480351,7.61957421658683,1.75356474120196,4.3451912766928,1.39154354031239e-05,0.00093893936534732
"AMG93924.1",3351.47067412897,7.54730870609702,1.06895242384386,7.06047204510519,1.65937927574031e-12,9.99696995572788e-10
"ABF42494.1",9680.9803653674,7.53878394281471,1.25309882702972,6.01611283978636,1.78655059931234e-09,4.26463111456606e-07
"ADP10255.1",547.20613104398,7.49382597409543,1.18101765430396,6.34522773371407,2.2209665730425e-10,6.53454851135982e-08
"ABK16223.1",2628.67979412314,7.33224797734265,1.43947687034882,5.09368933143458,3.51162022978024e-07,4.53339421806782e-05
"ACU37728.1",71525.5815293395,7.21603980168176,0.746530071615397,9.6661073358601,4.20052293431102e-22,2.12571663613743e-18
"AGP40336.1",9096.0309542283,7.14410332267319,1.31959784544505,5.41384888383456,6.16842301350773e-08,1.00051030455632e-05
"CAD62686.1",1513.64886563894,-6.85599594621948,0.860806884695802,-7.96461560439575,1.65738172342338e-15,2.20719630251484e-12
"CAB69046.2",1534.26539455055,-6.82969709813618,0.807791508634558,-8.45477703730841,2.79621142278229e-17,7.07525376306602e-14
"AEH87908.1",2896.25736427295,-6.8158685554798,0.989147427954966,-6.89064982918817,5.55380964633495e-12,2.81056090962426e-09
"AKV59543.1",2998.23160815806,6.74444330349211,0.910964923233351,7.40362568467904,1.32515620540332e-13,1.28963182558924e-10
"AFY26879.1",782.643317848598,-6.7040767004722,0.860139645718042,-7.79417241589377,6.4831973160585e-15,7.81163531848706e-12
"ADN16569.1",2944.62260715788,6.62412825295738,0.955799269110674,6.93045963418743,4.19475451582903e-12,2.1661198676331e-09
"ABF09017.1",21986.798704009,6.52269428643276,1.0101991223395,6.45684018347487,1.06911694991533e-10,3.42428685869716e-08
"AAO79251.1",965.792852803773,-6.47980093904078,0.921654913141238,-7.03061508884702,2.05625033547985e-12,1.20998377299178e-09
"ADG10297.1",6785.51541704861,6.34352742643532,0.986718087709963,6.42891572116386,1.2851735332032e-10,3.96570072080982e-08
"AGY56176.1",333.514331462123,6.33119706204312,1.04620391202911,6.05158993313628,1.43423178537853e-09,3.59310563024089e-07
"ADE53917.1",2137.81506865894,6.3045866700732,1.12779982296704,5.59016462113545,2.26854439694325e-08,4.01405446684301e-06
"ADL56818.1",919.806772506534,-6.29845744321224,1.47099657373379,-4.28176214389477,1.85419119883171e-05,0.00116707959960295
