"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CDO72503.1"	2500.99895830875	-6.17731334831769	1.10021304553197	-5.61465197436453	1.96958257431318e-08	4.17059110110817e-05
"ADQ80338.1"	168.005249437128	-5.7202831140981	1.48306497280411	-3.8570684487831	0.000114755035476825	0.0291592545146613
"ADW11818.1"	6202.66223455591	-5.69305773951447	0.892528934346006	-6.37856938911007	1.78749852665914e-10	2.27101687812043e-06
"AHZ67757.1"	690.951273908894	5.62849759085833	1.14520199810852	4.91485135387004	8.88498467688531e-07	0.000627131835110155
"ABS16197.1"	1042.19991244555	-5.61983522429821	1.25144659442497	-4.4906712354597	7.09990691093661e-06	0.0040017846324491
"AIQ68068.1"	707.992669282826	5.36417986481498	0.948138656856477	5.65759008561021	1.53513244432758e-08	3.90077154103639e-05
"ACU04919.1"	167.083361075842	-5.1085247688448	0.944536023904837	-5.40850178241533	6.35541550483062e-08	0.000100931942486091
"AFY26879.1"	782.643317848598	5.05274553682273	0.852233654756615	5.92882657076682	3.05107120096011e-09	1.29212865360661e-05
"AJE26316.1"	129.591560680402	4.75157461197742	1.21972473779826	3.89561223506423	9.79509908216487e-05	0.0280490634147387
"AJF93427.1"	119.918631858345	4.57585316783711	1.1962609508634	3.82512959612573	0.000130703312436991	0.0310902447595276
"ADB36688.1"	283.50145233486	-4.45855712043819	0.895182010912675	-4.98061518896309	6.33824621398472e-07	0.000473690694992211
"AFL78163.1"	646.935085868031	-4.31245106021718	1.06038851452497	-4.06685945872305	4.76509605560975e-05	0.0168168181629228
"ACI52536.1"	379.741098074151	-4.2878296854869	0.734886174044828	-5.83468547501255	5.38921294716414e-09	1.71174876234301e-05
"ACS17681.1"	1516.18034796805	-4.21673929429733	0.84145030658199	-5.01127548628026	5.40704423151695e-07	0.000429353106008893
"ABA80535.1"	1186.80734296982	-4.18092645507109	0.822205686745682	-5.0850128167069	3.67601244812897e-07	0.000360090690008782
"ANY20233.1"	969.28008114105	-4.03015778034464	0.956360986167861	-4.2140549840845	2.50826180348011e-05	0.0102798278107144
"AEB11326.1"	807.186245234532	-3.92650471317424	0.822831576210381	-4.77194218926074	1.8245788069535e-06	0.00122006703907075
"ADH63307.1"	715.966404352742	-3.89926225478931	0.707906668918336	-5.50815866835566	3.62606508102644e-08	6.581308122063e-05
"ADG87543.1"	825.823967642521	-3.7326035962439	0.951146963834601	-3.92431846830032	8.69756150856477e-05	0.0274929588438952
"ADH64553.1"	316.908008890494	-3.6804024568189	0.94863284767073	-3.87969114273846	0.00010458918490197	0.0280490634147387
"AGM09002.1"	606.824503378955	-3.60867487304737	0.712992260474968	-5.06131002129449	4.16385508503641e-07	0.000360090690008782
"AAI42133.1"	849.157455224315	-3.59909961561593	0.693091057984015	-5.1928236184212	2.07128397923062e-07	0.00026315662956125
"AHC24364.1"	432.503235478279	-3.5327616868742	0.799520219244558	-4.41860205888501	9.93413669293983e-06	0.00518997741575307
"ACF84607.1"	2156.40624893057	-3.50767545007487	0.693580592802712	-5.05734371243087	4.25136587967865e-07	0.000360090690008782
"AEW93494.1"	470.372328350392	-3.49711652880885	0.792525168670857	-4.41262519734719	1.02124703182862e-05	0.00518997741575307
"CCB73848.1"	482.505075725293	-3.47827005878476	0.77270718047056	-4.50140770876049	6.75048759237474e-06	0.0040017846324491
"AMO04966.1"	423.836388730486	-3.45975908702942	0.815335092916044	-4.24335848792623	2.20199249859427e-05	0.00963258450817545
"AIG75894.1"	1769.68985223311	-3.33621554379164	0.897802979347303	-3.71597735865952	0.000202419709310355	0.0421597115866895
"ABO57793.1"	874.20707976496	-3.28932761923198	0.882457681059699	-3.72746216598397	0.000193417584689853	0.0409561735580764
"SCF41954.1"	548.9775110347	-3.27149786330636	0.838775087932196	-3.9003278833322	9.60624996583051e-05	0.0280490634147387
"ACF12985.1"	246.288520220284	-3.2242331252461	0.86210548833199	-3.73995197674055	0.000184055416007368	0.0407629359357148
"AGJ58442.1"	2846.77409768944	-3.16856117463488	0.623865042797901	-5.07892085189541	3.7958479391676e-07	0.000360090690008782
"ADY37533.1"	396.867411554987	-3.14823758053111	0.701732838554963	-4.48637630670682	7.24447434445725e-06	0.0040017846324491
"ADW02300.1"	2837.29073127157	-3.12774158784594	0.60743563030291	-5.14909141284028	2.61751298436692e-07	0.000302322749694379
"AMQ85331.1"	263.394612068977	3.04465550334733	0.730536252654308	4.16769940202827	3.0768931978707e-05	0.012216227524671
"AAM18407.1"	321.013670162399	-2.87878691601195	0.741333532790337	-3.88325468723418	0.000103067510865921	0.0280490634147387
"ABO91424.1"	651.903231705512	-2.85834803874453	0.667314267314949	-4.2833611968849	1.84090958975303e-05	0.00835312726350436
"ACB76868.1"	584.479976008829	-2.76003052760387	0.682243035925325	-4.04552392954872	5.22062322715408e-05	0.0174547416055244
"AKG43946.1"	254.39951033735	-2.75799811155418	0.632297613158456	-4.36186702932091	1.28957240337538e-05	0.00606815458699417
"AGJ55179.1"	435.242245044906	-2.69985218349113	0.684234670812083	-3.94579856686715	7.95344572558237e-05	0.025909878959878
"AAI51374.1"	183.308883211194	2.515778271457	0.593892456029459	4.2360839002343	2.27451818374863e-05	0.00963258450817545
"AJY16834.1"	401.957750568775	-2.51466655583344	0.64157351544225	-3.91952986728267	8.87218663990323e-05	0.0274929588438952
"ACM01248.1"	155.733054058875	-2.42022735560319	0.624333374783942	-3.87649844354507	0.000105970487517313	0.0280490634147387
"ABA49877.1"	145.449236937821	-2.3298554549214	0.622821400462934	-3.74080828499094	0.000183429401855002	0.0407629359357148
"ABF88670.1"	534.695459232494	-2.32479222681443	0.606267200393916	-3.83460003329212	0.000125768780498913	0.0307286991584362
"ADU10156.1"	398.003670894811	-2.29519546980387	0.56664248952366	-4.05051776426667	5.1104429610726e-05	0.0174547416055244
"ANB09419.1"	402.601828266657	-2.22294436861281	0.354788759918767	-6.26554338734343	3.71527534000095e-10	2.3601286597356e-06
"ABL69750.1"	438.894318008007	-2.12897484158265	0.554919610933334	-3.83654641075284	0.00012477662452035	0.0307286991584362
"ACF79171.1"	497.788757748968	-2.09119548697201	0.536234758379282	-3.8997760855571	9.62816905486664e-05	0.0280490634147387
"ABF91523.1"	420.201184537626	-2.02421711320916	0.496532088387678	-4.0767095632875	4.56774885585098e-05	0.0165809283467391
"ACB74628.1"	454.824803967375	-2.02372769155223	0.495718152783755	-4.08241594581071	4.4569934198451e-05	0.0165809283467391
"AKF86991.1"	797.152158084937	2.00903142306356	0.538197580298687	3.73288824886317	0.000189296593483445	0.0407629359357148
"ADU26042.1"	345.736836361982	1.8720995816503	0.483865090298119	3.86905279836753	0.00010925898272793	0.0283292933787419
"ADU13592.1"	178.954642780468	-1.86859594619968	0.480404066504964	-3.88963390712757	0.000100395559590462	0.0280490634147387
"AEO66274.1"	183.320115886195	1.7114666002167	0.463544254144109	3.6921320562516	0.000222381936612635	0.0455703629784441
"ADG11196.1"	1571.1447202956	1.68678705020701	0.447708894322451	3.76759781098328	0.000164825968307078	0.038074798678935
"ACD03242.1"	620.388742559853	1.6645787053467	0.381219671798237	4.36645542842733	1.26279041699724e-05	0.00606815458699417
"AGM06774.1"	368.631564302501	-1.45505536715335	0.313912435647373	-4.63522690381039	3.56546161336321e-06	0.00226495948988898
"AEE46296.1"	713.55592801562	-1.43571777467939	0.275136784709708	-5.21819638255274	1.80673845484064e-07	0.000255051245208336
"AKN70696.1"	323.928308303488	1.42367439124782	0.372452653504139	3.82243052332556	0.000132142716805548	0.0310902447595276
"ALN86362.1"	403.161282539009	-1.40280102383492	0.375637030701989	-3.73445882375701	0.000188119264916949	0.0407629359357148
"SDO33535.1"	126.00357457241	1.34916080075841	0.329243704082021	4.09775732696262	4.17172292557935e-05	0.0160611332634805
"AJT65272.1"	225.527642922156	-1.29985723869408	0.352474614800729	-3.68780384206944	0.000226197914919208	0.0456165795087069
"ACU72743.1"	708.252341161329	-1.2365143272704	0.3363650292589	-3.67610845275672	0.00023681887741063	0.0470122474609695
