"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ADY36172.1"	1004.4354762608	-6.43099245112671	1.2942541544227	-4.96887912559588	6.73410295631674e-07	0.000432764089739078
"ALL05779.1"	987.675282443584	-6.33093931999594	1.52010293242843	-4.16480962238655	3.11612476569755e-05	0.00685586400013031
"CED82288.1"	355.238443900874	-6.27222305630603	1.27165392789118	-4.93233490554103	8.12524474899362e-07	0.00044691385258449
"ACY49470.1"	1252.42279795498	-5.88007669135216	1.07953110146225	-5.4468803014452	5.126093419228e-08	6.44459787655943e-05
"ADZ83524.1"	621.991069217395	-5.81257640763714	1.17399835769094	-4.95109415576142	7.37973858224854e-07	0.000432969262620522
"ACT01491.1"	1024.33142984351	-5.74579790706397	1.1128301247499	-5.16323001981572	2.42724569494233e-07	0.000178008131152833
"ACF83226.1"	5009.88258471238	-5.6116391686647	0.952729598591664	-5.89006490084898	3.86043978885885e-09	1.13246001206174e-05
"ADI10019.1"	43346.1784641663	-5.58277270793133	1.07925444946869	-5.17280490312518	2.30605762847877e-07	0.000178008131152833
"ADY27459.1"	2449.73248657627	-5.58119068903301	1.09417822361114	-5.10080585465619	3.3821035341274e-07	0.000228955401169909
"AAC39109.4"	353.453275618354	-5.51554184923473	0.952535258143083	-5.79038077812152	7.02270319218413e-09	1.76580855550904e-05
"AID55366.1"	767.866489761001	-5.38593258389543	1.21798039134837	-4.42201912457137	9.77827990531914e-06	0.00280781486699635
"ADT68316.1"	1049.21374491275	-5.24562396859036	1.13417115602981	-4.62507262744433	3.74467165202221e-06	0.00143282534233137
"ACY47437.1"	5067.77508146413	-5.23397892772687	1.31042240540138	-3.99411587145729	6.49361035889618e-05	0.0112052976398953
"SCF03497.1"	3432.22772746942	-5.22524679058655	0.972133091910751	-5.37503232228851	7.65689453428727e-08	8.98460004653268e-05
"ABD68845.1"	846.108309266343	-5.18835035703862	0.919700517441279	-5.64134765464007	1.68724290401548e-08	2.86664446635389e-05
"ACO92620.2"	3875.70216726289	-5.18453323289354	1.18079624000383	-4.3907094698038	1.12981415980916e-05	0.00305936292720014
"ABS43540.1"	147.746273065232	-5.18049098582323	0.973956641371517	-5.3190160277855	1.04329945613396e-07	0.000102017298485632
"ABF86069.1"	7417.50166437633	-5.09967700595895	1.09966978082122	-4.63746216809792	3.52713143185942e-06	0.00137957867404795
"AJA90537.1"	395.025205700735	-5.07688815241066	1.39066892790178	-3.65068065486342	0.000261546270447894	0.0240200013413332
"ADX07316.1"	570.893197489296	-5.06652693555219	0.988172242703453	-5.12716985622985	2.94130134450335e-07	0.000207079379858414
"ALJ56196.1"	2292.49106694797	-5.04342268086489	1.44139725282276	-3.4989817491244	0.000467038548262707	0.0317387856678452
"CCA66590.1"	772.526778876201	4.95774288720697	1.28487944042131	3.85852768068368	0.000114072149647723	0.0149834619846983
"ADW71271.1"	501.574855518208	-4.93143895413681	1.33205985314061	-3.70211514333227	0.000213809539128482	0.0212965267321786
"AEF58998.1"	383.152655334936	-4.86631113506127	0.853188949570903	-5.7036734213549	1.17252626457574e-08	2.29307053142195e-05
"ACR11184.1"	241.866806799112	-4.8310595439297	1.28890678577498	-3.74818380758616	0.000178119704280059	0.0191771499821105
"ADT72499.1"	122.597021003517	-4.82835600814793	1.03168041109384	-4.68008886882775	2.86750593314049e-06	0.00114706754384558
"AFR47458.1"	2517.62069152522	-4.78769207601151	1.32919933467692	-3.60193685860912	0.000315855091380152	0.0263477036179245
"SCG44401.1"	157.551816274975	4.76828180578787	0.760010914719013	6.2739649042419	3.51967876937871e-10	3.09749330099173e-06
"AAW34592.1"	121.355351040509	-4.75999893173014	1.07145768836593	-4.44254493986557	8.8901057421195e-06	0.00260791251945076
"ADC49391.1"	180.973622474173	-4.75898651144207	1.33702461861774	-3.55938585211846	0.000371723055416774	0.0289103885323528
"ABK05142.1"	1810.08127435746	-4.73313744567809	0.779137798098009	-6.07483997982435	1.24111421666485e-09	4.36897026550361e-06
"AJE44279.1"	3739.26109882161	-4.72974156411108	1.20819249875032	-3.9147251526584	9.05072466316932e-05	0.0133867062854154
