"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ADG93377.1"	16774.4895755095	-12.2489902083084	1.34047839730001	-9.13777516518011	6.37503071653116e-20	8.11876938146865e-17
"AEF27231.1"	38168.9852949748	-11.8809247196021	1.14535597190926	-10.3731285390664	3.28587364479894e-25	1.13583263690286e-21
"ABM04928.1"	13101.2120009626	11.8360999232285	1.0762686229075	10.9973473827136	3.93538338320167e-28	3.17414905744436e-24
"ACE84027.1"	6754.33525639732	-10.745026688416	1.52837030875115	-7.03038172548373	2.05969255821117e-12	7.32917365162288e-10
"AMG93924.1"	3351.47067412897	-10.4524870975593	1.07274695825422	-9.7436650993349	1.96342310842886e-22	3.65453453497331e-19
"ADI10019.1"	43346.1784641663	-9.48767755482604	1.0798377133539	-8.78620688784608	1.54694591509611e-18	1.70142955943549e-15
"ADW69716.1"	28254.2712562455	-9.00047410700768	1.76608563214481	-5.09628408905469	3.46385205487082e-07	2.35434910594689e-05
"ABC02171.1"	9077.28909425327	-8.91922175891954	0.950251283470144	-9.38617175695693	6.22206992754073e-21	9.40971412729393e-18
"ACX64453.1"	3670.29115010225	-8.86531190973373	1.04355901638881	-8.49526645882638	1.97479345910027e-17	2.02621385903599e-14
"ADY32787.1"	2563.28571689689	-8.83613743389952	1.2094621396796	-7.305840459165	2.75538954602298e-13	1.21222110627487e-10
"ABK16223.1"	2628.67979412314	-8.70106908536857	1.44158401826274	-6.03576966388284	1.58206787533214e-09	2.36304298638344e-07
"ALJ56196.1"	2292.49106694797	-8.64366385404691	1.4459203472158	-5.97796681586974	2.259397428277e-09	3.19711342526424e-07
"ABF09017.1"	21986.798704009	-8.34871362531679	1.01018085004573	-8.26457324442337	1.40195363940644e-16	1.2564100819525e-13
"ACT96036.1"	13623.5677426145	-8.31441352618528	1.27659671537816	-6.51295230986265	7.36879112660561e-11	1.66637980271473e-08
"ACU37728.1"	71525.5815293395	-8.26622450807765	0.746403952641486	-11.0747330300488	1.66375278727355e-28	2.0128913096829e-24
"ABF42494.1"	9680.9803653674	-8.14619646045979	1.25281711120428	-6.50230299986021	7.90995725294549e-11	1.77219662638446e-08
"ADY36172.1"	1004.4354762608	-8.13901544650447	1.2991534257248	-6.26486085888101	3.73158455765881e-10	6.99946911175737e-08
"AEV16571.1"	3438.07333883253	8.09546060960123	1.354142874581	5.9782913321507	2.25490208761317e-09	3.19711342526424e-07
"ADK80806.1"	5405.26532468704	-8.07203035398497	0.724655848564246	-11.1391226193482	8.09125190797344e-29	1.95784022417233e-24
"AAO75562.1"	1250.82929273828	-7.9578769180931	1.43950230158257	-5.52821409826459	3.23507102742441e-08	3.13116054602354e-06
"SMY24903.1"	26041.0842717567	-7.88918118674762	1.19903379499029	-6.57961537006677	4.7166680670191e-11	1.12999224967981e-08
"ACT95943.1"	4318.32000480351	-7.8752964312617	1.75287197372086	-4.49279613647118	7.02940694134139e-06	0.000293766079032189
"ADE53917.1"	2137.81506865894	-7.82710508189168	1.12930574380375	-6.93089991336471	4.18171841076617e-12	1.34913387180412e-09
"AIT05786.1"	18010.1946271352	-7.65518302214595	0.777981122306337	-9.83980562337045	7.58572531447645e-23	1.52959829528656e-19
"ADY27459.1"	2449.73248657627	-7.65515270484352	1.09623205303389	-6.98314985742063	2.88634238993725e-12	9.83673617032557e-10
"ACZ89712.1"	61264.2311690845	-7.63612627370703	0.900236178686225	-8.48235880149912	2.20673822468529e-17	2.1358577929084e-14
