"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CDP24220.1"	2123.49325878097	5.21780423216313	0.855882779946091	6.09640052869364	1.0848340098029e-09	1.99110434159224e-06
"AIQ68068.1"	555.195950138929	4.71669379789228	0.654650584847431	7.20490274822182	5.80852913941928e-13	5.33048719124508e-09
"ADB36688.1"	314.311460886934	-4.30071101494072	0.655703032249197	-6.55893110664502	5.41948312248995e-11	1.65781988716967e-07
"ADH63307.1"	716.137530359899	-3.81297364849473	0.553798387013725	-6.8851295668368	5.77349622161703e-12	2.64916874128897e-08
"ACX75582.1"	586.71019357162	3.7960674879588	1.01147018634085	3.75301965319579	0.000174717151404286	0.0274372413332801
"AJE44279.1"	3222.5022592996	-3.55640718927613	0.948448249394758	-3.74971137491752	0.000177038216502284	0.0274372413332801
"AEF41469.1"	541.731711653216	-3.50121969913683	0.83026098525574	-4.21701098969304	2.47561914625434e-05	0.00765163183414814
"ACI52536.1"	276.996515100184	-3.26121397231394	0.523997864694087	-6.22371614857219	4.85515142422199e-10	1.11389311550213e-06
"ABQ71469.1"	471.966347388704	-3.12233102211993	0.669280585932949	-4.66520483000045	3.0830976959237e-06	0.00176834922221824
"ADC71417.1"	567.083383804673	-3.0935125530959	0.85912625288218	-3.60076594414133	0.000317281106167799	0.0428189516367925
"ACF82824.1"	3910.23611180777	-3.06842573032474	0.83859854302591	-3.65899244142848	0.000253208807413281	0.0357491880866413
"AFY26879.1"	722.813506750208	3.00967078470789	0.67993166576097	4.42643126694138	9.58048901775118e-06	0.00418667370075727
"ADT91959.1"	413.5958584181	-2.89496434936237	0.728792057997757	-3.97227757574065	7.11886971591646e-05	0.0145177483073256
"ACY82919.1"	780.510960879357	-2.83169004362376	0.754565229287335	-3.75274387649456	0.000174909535655805	0.0274372413332801
"ACF84607.1"	1734.26192918997	-2.82565819274287	0.511717827189588	-5.52190688423286	3.35340201513403e-08	5.1290283821475e-05
"AAI42133.1"	762.650414531478	-2.81481113734541	0.569724237029983	-4.94065541606451	7.78604027778746e-07	0.000510374940208968
"ANY20233.1"	663.281608379281	-2.76092158582444	0.634393681935804	-4.35206349691205	1.34862188381714e-05	0.00493639517872102
"CDO72503.1"	316.200525278427	-2.75917448762901	0.619473732655143	-4.4540621210892	8.42607034848411e-06	0.00406979197831782
"CCB73848.1"	340.538368276731	-2.75130091594694	0.544321542436097	-5.05455085175128	4.31404806147005e-07	0.000494740267424562
"ADM40168.1"	771.062398952689	-2.73821448531307	0.732936981670212	-3.73594804709301	0.000187009278804182	0.0281341664194423
"AEW93494.1"	333.951501957376	-2.7295276280079	0.548386708492876	-4.97737743409103	6.44515678537257e-07	0.000510374940208968
"AHC24364.1"	352.563043646042	-2.71691503823051	0.549606445235873	-4.943382781955	7.67785217130143e-07	0.000510374940208968
"ADG87543.1"	638.438994364413	-2.70781894568094	0.615240295861816	-4.40123796164534	1.07635000730206e-05	0.00446185407377825
"SDU35040.1"	449.413562890147	-2.69083123676199	0.685988064547028	-3.92256276140723	8.76120610304676e-05	0.0167503309182625
"AMO04966.1"	349.179991629971	-2.6248230614939	0.565289772341335	-4.64332310599276	3.42849543034064e-06	0.00185078250377859
"AGM09002.1"	427.766433462778	-2.61463323931213	0.519161484690379	-5.03626196552594	4.74710783373885e-07	0.000494740267424562
"ABR44810.1"	187.81316830413	-2.59027295068328	0.651372532000172	-3.97663828827617	6.98963588856024e-05	0.0145177483073256
"AIG75894.1"	1228.52644916857	-2.55770484240964	0.606856558621268	-4.21467776210667	2.50135071400724e-05	0.00765163183414814
"ACU59074.1"	456.175518400541	-2.51463836622998	0.695696955069078	-3.61455997170534	0.000300858170301704	0.0412085884904289
"ABO57793.1"	609.649434964525	-2.51071409454475	0.609873143461623	-4.1167808772395	3.84201032884465e-05	0.00979392466327982
"AGJ58442.1"	1996.71659394244	-2.48227588057423	0.498923534096356	-4.97526316346271	6.51590566939591e-07	0.000510374940208968
"ADW02300.1"	2000.27694313202	-2.44236082882473	0.493993569724706	-4.9441146170907	7.64906933624295e-07	0.000510374940208968
