"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ADB82988.1"	233.70283665866	-4.49999908158685	0.770552494204611	-5.8399643313489	5.22119994921867e-09	1.93911813639194e-05
"SCG44401.1"	144.585132459065	4.07400687203104	0.619672723715629	6.57444924734272	4.88335828656382e-11	1.06979729983754e-06
"ADE53584.1"	209.570497480122	4.02408701732252	0.810406269484318	4.9655181220194	6.85178941631712e-07	0.000793323247294298
"ADY27459.1"	1590.29975286225	-3.96962409098361	0.781630859659521	-5.07864299614883	3.80140260499968e-07	0.000555182179118187
"APA12064.1"	360.063760461324	-3.95396850914916	0.815609615686374	-4.8478689229549	1.2479480920299e-06	0.00107808892801452
"AEJ61792.1"	96.2949636765763	-3.90391362681949	0.848363334299276	-4.601700084132	4.19056329320926e-06	0.00270007853130398
"CCA66590.1"	561.897361060001	3.85173926876417	0.815658831125323	4.72224307735395	2.33257658508425e-06	0.00170332517498135
"SDS12312.1"	258.761738477446	-3.85061230552238	0.672351008605551	-5.72708638231764	1.02170151526446e-08	2.48693501054427e-05
"AAC39109.4"	255.218153382071	-3.7799359029502	0.767062307896642	-4.92780816373985	8.31572032185852e-07	0.000855905146741298
"AFC28766.1"	341.795060666427	-3.67340458995721	0.622362111466281	-5.90235896800126	3.58340410256036e-09	1.93911813639194e-05
"AEI40117.1"	351.56252018826	-3.57772587006181	0.587044849551721	-6.094467693216	1.0980220410657e-09	1.20271844268131e-05
"AIA16533.1"	127.596934178389	-3.57488021091116	0.815830175011892	-4.38189260511117	1.17652802989738e-05	0.00495657683672345
"ADW71271.1"	319.026572269596	-3.54695582110048	0.940710904647909	-3.77050569263683	0.000162917086007866	0.0272444626196513
"ACR11184.1"	168.549238167211	-3.52588896727442	0.862934131362392	-4.08593059322822	4.39005013623925e-05	0.0126543195177097
"ABL05685.1"	334.001880849886	-3.49620863751462	0.679794704111251	-5.14303600244355	2.70333791588744e-07	0.000423014455166759
"ANN17475.1"	189.163931540095	3.48251673011023	0.600792906110241	5.7965343709821	6.76993150859896e-09	2.11869842226968e-05
"ALC49422.1"	373.667330891696	-3.48008820715098	0.784341640324235	-4.436954546634	9.12405501511152e-06	0.0044417927381344
"AHL31501.1"	490.242525804559	-3.46265110244978	0.714993931239684	-4.84290978029156	1.2795139511744e-06	0.00107808892801452
"ACN27802.1"	1114.95819297406	-3.38191263029696	0.765645959533416	-4.41707108642994	1.00047334456218e-05	0.00455531392660013
"AHV96625.1"	257.238716640412	3.3718585702613	0.892193411481684	3.77929104482131	0.000157275509780023	0.0265033430211613
