"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ADG93377.1"	12670.2286019949	-11.7891943615555	0.974139807254135	-12.1021585133518	1.02870183097263e-33	2.02597508526564e-30
"AEF27231.1"	26619.9964974569	-11.2560600264989	0.810621201612757	-13.8857212272571	7.73181703047711e-44	2.70574936981546e-40
"ABM04928.1"	12010.9160188958	9.98880734290074	0.710859318756619	14.0517358067028	7.5168738873553e-45	3.00632001929141e-41
"ACE84027.1"	4878.15508083903	-9.90748716020565	1.09784170802697	-9.02451335904452	1.80495802790904e-19	6.64889538807126e-17
"ABC02171.1"	11434.1073013546	-8.82179259134673	0.684078540397939	-12.895876818786	4.7483149529268e-38	1.32933825422139e-34
"ABK16223.1"	2797.24562590885	-8.43956140461375	1.06226499432306	-7.94487387772012	1.94388463612058e-15	3.58032857058103e-13
"ADK80806.1"	5394.36103835464	-8.31564417834668	0.547721346067848	-15.1822532352365	4.63579328567403e-52	4.32612229419101e-48
"ACX64453.1"	2734.95035677624	-8.25898738079011	0.762215093986406	-10.8355075174324	2.33666099165113e-27	2.51604465854865e-24
"ADW69716.1"	20529.648598703	-8.11623786304004	1.13385746127731	-7.15807598416908	8.18172049166332e-13	8.94747839392994e-11
"ACU37728.1"	69452.4180730247	-8.06652091192724	0.502899490252355	-16.0400260256368	6.71262209071076e-58	1.87926568051538e-53
"ALJ56196.1"	1967.47948571181	-8.0363241901203	1.00975533260412	-7.95868457499992	1.73877870548363e-15	3.22376481051124e-13
"ABF42494.1"	8547.92032366255	-7.97455495651535	0.820182964060364	-9.72289758011658	2.40828859040754e-22	1.4046343203552e-19
"ADY32787.1"	2350.32660337496	-7.95401071928102	0.898685302175957	-8.85071859973924	8.69575602407325e-19	2.93308898373439e-16
"ABF09017.1"	19026.3270142253	-7.82711737239205	0.620942770227062	-12.6052154041988	1.97631920671635e-36	4.25607942394085e-33
"ACT96036.1"	11041.2855050443	-7.71456842274242	0.834286520739515	-9.24690526691501	2.3108642526997e-20	9.95307009516628e-18
"ADE53917.1"	2426.05582615386	-7.69606740342001	0.689643059483136	-11.159493737511	6.43570088198736e-29	7.50724507883825e-26
"ADV23282.1"	5824.79848370147	-7.60060559923269	0.966259806032893	-7.86600617326512	3.66142481849427e-15	6.21243934657973e-13
"AMG93924.1"	938.153536623581	-7.58925938176334	0.628675030498031	-12.0718320493041	1.48784574645673e-33	2.60335809486266e-30
"AIT05786.1"	19010.833067734	-7.45462446033767	0.497045920737247	-14.9978586471056	7.58264136058662e-51	4.24567255061966e-47
"ADN16569.1"	3807.44011540101	-7.36061485107476	0.698486827534074	-10.5379436818595	5.77477492739352e-26	4.6191599676374e-23
"ACT95943.1"	3478.49569181239	-7.35323645105965	0.990288069139512	-7.42535094606267	1.12481272593748e-13	1.43791128197926e-11
"AEV16571.1"	2171.25236970706	7.33228268931065	0.947977769163307	7.73465679029814	1.03682428032195e-14	1.58617117769909e-12
"AHV98773.1"	50338.0712759	-7.25641835934691	0.884404765114183	-8.20486121918401	2.30857403465599e-16	5.12943164081182e-14
