"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ABM04928.1"	12010.9160188958	-10.6475109409263	0.712160969485701	-14.9509891683837	1.53452764418411e-50	2.14803179632891e-46
"ADG93377.1"	12670.2286019949	9.81270814837911	0.974874669661149	10.0656099227502	7.83998608737796e-24	6.65115910612828e-21
"AEF27231.1"	26619.9964974569	9.26538629120223	0.811902091150934	11.4119502735457	3.64464648293151e-30	9.27595663055913e-27
"ABC02171.1"	11434.1073013546	8.34912528658792	0.684292267608941	12.2011100837972	3.06615112763066e-34	1.07299958711435e-30
"ACE84027.1"	4878.15508083903	7.96535165259523	1.10071049676271	7.23655463995491	4.60226300040192e-13	7.57911499760307e-11
"ADW69716.1"	20529.648598703	7.7226398562949	1.13381930358661	6.81117337821459	9.68058759306791e-12	1.22632457129199e-09
"ABF42494.1"	8547.92032366255	7.58392856292012	0.82065009021099	9.24136687899502	2.43368132665007e-20	1.13555570701492e-17
"ABK16223.1"	2797.24562590885	7.52283440178614	1.06178930156034	7.08505387154591	1.38990223089648e-12	2.12632256044688e-10
"ACU37728.1"	69452.4180730247	7.46437734053213	0.502966311734666	14.8407103346314	7.99053432216276e-50	7.45676662944229e-46
"ACT96036.1"	11041.2855050443	7.4559205532041	0.834415409595693	8.93550199032972	4.05333705872211e-19	1.66878271023506e-16
"AKK05637.1"	864.971933286142	-7.33799356945343	0.681769045000328	-10.7631662412157	5.13741100515624e-27	7.1913479250177e-24
"ADN16569.1"	3807.44011540101	7.2073425428178	0.700086315024632	10.2949341933133	7.427034156568e-25	7.99720185566453e-22
"AAQ56599.1"	600.117802677647	7.19946285578217	1.0221924801723	7.04315771777997	1.87931297046367e-12	2.78376962545508e-10
"ABL86686.1"	591.25111890069	7.13545437700349	0.973277577642079	7.33136624218784	2.27818132289784e-13	3.96148846682285e-11
"ADE53917.1"	2426.05582615386	7.10021707068246	0.69067244478851	10.2801510676405	8.65917698046102e-25	8.97860439796247e-22
"AMG93924.1"	938.153536623581	7.08060516809665	0.631170708753253	11.218209384404	3.31923077913541e-29	6.19501232617834e-26
"AGP40336.1"	10670.6304083775	7.03401219629504	0.911371091894504	7.71805498205254	1.18118250912107e-14	2.54372196348873e-12
"ABZ84856.1"	1243.91385369822	6.88461982530601	0.90870467865966	7.57630062548025	3.5554740959967e-14	7.10993234225169e-12
"ACT95943.1"	3478.49569181239	6.86796080031663	0.990479104882423	6.93397848219313	4.09166917776479e-12	5.58782294149771e-10
"AEI03313.1"	14616.0153150977	-6.84952320813668	0.488893263286203	-14.0102630216177	1.34904425367539e-44	9.44196073147403e-41
"AIT05786.1"	19010.833067734	6.79548714317577	0.49722531712994	13.666816449332	1.6025432240643e-42	8.97296002018084e-39
"ABF09017.1"	19026.3270142253	6.70007013915859	0.621039709583242	10.7884730006311	3.90219226951868e-27	5.74977761986552e-24
"ADV23282.1"	5824.79848370147	6.47647954273287	0.966267552423866	6.70257376074228	2.04780146711167e-11	2.38753539312753e-09
"ABW29834.1"	554.395090891029	-6.43321555684261	0.681750862975959	-9.43631450462787	3.86121964835028e-21	2.00182787546693e-18
"AHV96513.1"	2779.05281517627	6.39338394015429	0.880785877980264	7.25872666670701	3.90751166259928e-13	6.51158907774579e-11
"ADP10255.1"	406.97617860847	6.35236990655595	0.741517353030778	8.56671779910763	1.0647640534321e-17	3.42633729194081e-15
"AEC03714.1"	714.971256126473	6.33128195628747	0.922873176674236	6.86040305029077	6.86665323491898e-12	8.89994555392555e-10
"AKV59543.1"	2468.68058502801	6.32229845628791	0.679866827626458	9.29931892450207	1.41348183439433e-20	6.82273059236272e-18
"ADG68554.1"	1176.26242274656	6.28482840496121	0.613981948054631	10.2361778304303	1.36523708087401e-24	1.27403924387163e-21
"ADK80806.1"	5394.36103835464	6.26360616323039	0.546474150878508	11.4618525929562	2.05080517883964e-30	5.74143417867945e-27
"AEY65332.1"	498.279226076686	6.2546142556487	0.819939252597178	7.62814347018643	2.38158437694692e-14	4.93887675681527e-12
"ABE48277.1"	816.1429163231	6.22620905020824	0.972988582925297	6.39905663794029	1.56339847014612e-10	1.45411639768142e-08
"AFY26879.1"	722.813506750208	-6.21501019223737	0.685778721289819	-9.06270492112692	1.27254928232737e-19	5.39792268303593e-17
"AGY56176.1"	253.32761218421	6.21277428739616	0.793898381992315	7.82565430074941	5.05023344973611e-15	1.158904390646e-12
"AEI71804.1"	709.948849816669	6.20384579366173	0.903011313938899	6.87017504420937	6.41231724618009e-12	8.38874923476906e-10
"ADJ41761.1"	663.695399990561	6.2023986527727	0.9984714984494	6.21189354168333	5.2349890617881e-10	4.26042888877383e-08
"CAB69046.2"	1348.49430521239	-6.1522815660647	0.573582661719416	-10.7260591657742	7.68020757127435e-27	1.02388138650189e-23
"CAD62686.1"	1332.6912050254	-6.11164592913313	0.589091031748076	-10.3747054355884	3.23207604366803e-25	3.77021670493876e-22
"ACX64453.1"	2734.95035677624	6.09972218369093	0.762250917471897	8.00224971053028	1.22166318146275e-15	3.05372164537778e-13
"ADL56818.1"	649.319435809796	-6.08881971292476	0.960014149005524	-6.34242705613469	2.26173307751681e-10	2.02947048840258e-08
"AAO79251.1"	913.741264530216	-5.99155091648489	0.660993624601665	-9.06446097735902	1.2522184530112e-19	5.39340120161562e-17
"AAU12252.1"	937.999245402009	5.98502267371053	1.26019080798088	4.7492987853958	2.04123177237352e-06	6.11845018194528e-05
"ACZ89712.1"	49902.8938052023	5.88602357735984	0.600988458981295	9.79390450747912	1.19586663569682e-22	8.16572739828493e-20
"AEA22835.1"	34212.5823027676	5.86137982161866	0.802227615514313	7.30638002016534	2.74435321509433e-13	4.68481174449883e-11
"AOK89953.1"	282.012267502214	5.85516731911552	0.693666839770117	8.44089263522521	3.1492331871723e-17	9.58325351174735e-15
"AEH87908.1"	2142.11315038423	-5.84970080429187	0.712038080885358	-8.21543251874714	2.1140090415782e-16	5.85978189386369e-14
"ADY32787.1"	2350.32660337496	5.8328545778272	0.897179548455895	6.50132360670273	7.96163545548761e-11	7.96049807899397e-09
"AGP29857.1"	6261.23790907529	5.82672891756517	0.595675747402478	9.78171252224618	1.34908265232534e-22	8.99259950821436e-20
"ABP64533.1"	5036.08190663343	5.75382545247365	0.827680185526292	6.95174966501705	3.60783209034436e-12	5.1012559192566e-10
"AFC30817.1"	938.726993628951	-5.71626730851447	0.54998765183054	-10.393446633736	2.65578920017423e-25	3.23267280209034e-22
"SMY24903.1"	25106.2782008665	5.69255610385657	0.906129718516838	6.28227502920245	3.33653900557891e-10	2.83920200608471e-08
