"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ACX75582.1"	586.71019357162	-6.89479041936862	1.4286261291515	-4.82616849760659	1.39184763916063e-06	0.00371055820423374
"ADB82988.1"	233.70283665866	-5.50074312258298	1.09102026262057	-5.04183406215617	4.6109105012286e-07	0.00275363575133372
"CDP24220.1"	2123.49325878097	-5.24097770915507	1.21070553881306	-4.32886242041411	1.49881524224461e-05	0.0162744084121543
"AEO64812.1"	788.93409996679	-5.0600640198764	1.09659413266894	-4.61434533445932	3.94336296766071e-06	0.00672850389796279
"AIQ68068.1"	555.195950138929	-4.71471570278624	0.926496931464941	-5.08875479526037	3.60422282932328e-07	0.00275363575133372
"ADB36688.1"	314.311460886934	4.47366624768528	0.930453037188176	4.80805163601236	1.52408403978837e-06	0.00371055820423374
"AFC28766.1"	341.795060666427	-4.07113522873511	0.881670792473406	-4.61752307492698	3.88347510500045e-06	0.00672850389796279
"AEI40117.1"	351.56252018826	-3.74985760957339	0.831226052401647	-4.51123686359323	6.44507011996606e-06	0.00962248968910933
"ACI52536.1"	276.996515100184	3.582215142873	0.745634388937772	4.80425151524491	1.55331472045954e-06	0.00371055820423374
"ADH63307.1"	716.137530359899	3.52828461104612	0.787356670799783	4.48117700896869	7.42325107840395e-06	0.00985147898671742
"ACS17643.1"	1333.74081816819	-3.2082541895147	0.740732834844052	-4.33118938245817	1.48306052959584e-05	0.0162744084121543
"AGJ58442.1"	1996.71659394244	2.85776355477639	0.706358982561893	4.04576656533986	5.21521826389193e-05	0.0444932621028037
"ADJ43338.1"	241.9158883982	2.85689707296676	0.693129866455425	4.12173419618543	3.76030927049452e-05	0.0345485645590666
"ADW02300.1"	2000.27694313202	2.80569311234389	0.699374458683411	4.01171801101469	6.02784755904545e-05	0.0479977408301593
"ACM41799.1"	360.242667428313	1.03400919174563	0.259226028551455	3.98883243910204	6.63993013403712e-05	0.0495670784505871
"ACU73740.1"	245.850522099171	0.746914621671946	0.175494129475789	4.25606613681623	2.08055185472716e-05	0.0207084261273844
