SampleID,Country,Farm,Time,Treatment,Lat,Long,Elevation,pH,biomass,WHC,SOC,total_sand,total_silt,total_clay,soil_N,BD,soil_P,WC,VWC,respiration,reduction
ES_1_T0,ES,1,T0,C,37.57646201,-2.318505999,1109.274536,8.77,0,34.3,0.62,50.13788163,28.44247597,21.4196424,0.06,1.71,0.31,7.28,12.4488,0.89,0.21
ES_2_T0,ES,1,T0,D,37.57646201,-2.318505999,1109.274536,8.77,0,35.55,0.62,50.13788163,28.44247597,21.4196424,0.06,1.71,0.31,7.14,12.2094,1.18,0.20
ES_3_T0,ES,2,T0,C,37.57389598,-2.315838039,1121.020508,8.47,0,40.46,0.5,38.93054459,18.62174428,42.44771113,0.06,1.64,0.14,6.72,11.0208,0.65,0.17
ES_4_T0,ES,2,T0,D,37.57389598,-2.315838039,1121.020508,8.47,0,37.15,0.5,38.93054459,18.62174428,42.44771113,0.06,1.64,0.14,7.29,11.9556,0.66,0.20
ES_5_T0,ES,3,T0,C,37.72955496,-2.319309991,1014.76709,8.66,0,37.56,1.91,51.96753935,29.22136089,18.81109976,0.05,1.56,0.32,9.42,14.6952,0.72,0.25
ES_6_T0,ES,3,T0,D,37.72955496,-2.319309991,1014.76709,8.66,0,39.52,1.91,51.96753935,29.22136089,18.81109976,0.05,1.56,0.32,8.4,13.104,0.76,0.21
ES_7_T0,ES,4,T0,C,37.72679999,-2.31696398,1017.348267,8.59,0,41.12,0.65,48.9014173,33.14900848,17.94957422,0.04,1.44,0.36,7.61,10.9584,0.85,0.19
ES_8_T0,ES,4,T0,D,37.72679999,-2.31696398,1017.348267,8.59,0,42.96,0.65,48.9014173,33.14900848,17.94957422,0.04,1.44,0.36,8.13,11.7072,0.87,0.19
ES_9_T0,ES,5,T0,C,37.72690301,-2.308285022,1018.342224,8.65,0,44.85,1.14,41.81685947,35.75081252,22.43232801,0.03,1.28,0.39,9.26,11.8528,1.1,0.21
ES_10_T0,ES,5,T0,D,37.72690301,-2.308285022,1018.342224,8.65,0,44.54,1.14,41.81685947,35.75081252,22.43232801,0.03,1.28,0.39,7.16,9.1648,1.09,0.16
