SampleID	Country	Farm	Time	Treatment	Cou_Treat	pH	biomass	WHC	SOC	total_sand	total_silt	total_clay	soil_N	BD	soil_P	WC	VWC
ES1-C-1  	ES	1	T0	C	ES_C	8.77	0	34.3	0.62	50.13788163	28.44247597	21.4196424	0.06	1.71	0.31	7.28	12.4488
ES1-D-2 	ES	1	T0	D	ES_D	8.77	0	35.55	0.62	50.13788163	28.44247597	21.4196424	0.06	1.71	0.31	7.14	12.2094
ES2-C-3  	ES	2	T0	C	ES_C	8.47	0	40.46	0.5	38.93054459	18.62174428	42.44771113	0.06	1.64	0.14	6.72	11.0208
ES2-D-4  	ES	2	T0	D	ES_D	8.47	0	37.15	0.5	38.93054459	18.62174428	42.44771113	0.06	1.64	0.14	7.29	11.9556
ES3-C-5  	ES	3	T0	C	ES_C	8.66	0	37.56	1.91	51.96753935	29.22136089	18.81109976	0.05	1.56	0.32	9.42	14.6952
ES3-D-6  	ES	3	T0	D	ES_D	8.66	0	39.52	1.91	51.96753935	29.22136089	18.81109976	0.05	1.56	0.32	8.4	13.104
ES4-C-7  	ES	4	T0	C	ES_C	8.59	0	41.12	0.65	48.9014173	33.14900848	17.94957422	0.04	1.44	0.36	7.61	10.9584
ES4-D-8  	ES	4	T0	D	ES_D	8.59	0	42.96	0.65	48.9014173	33.14900848	17.94957422	0.04	1.44	0.36	8.13	11.7072
ES5-C-9  	ES	5	T0	C	ES_C	8.65	0	44.85	1.14	41.81685947	35.75081252	22.43232801	0.03	1.28	0.39	9.26	11.8528
ES5-D-10 	ES	5	T0	D	ES_D	8.65	0	44.54	1.14	41.81685947	35.75081252	22.43232801	0.03	1.28	0.39	7.16	9.1648
SE1-C-11 	SE	1	T0	C	SE_C	6.49	0	48.25	1.96	54.11270822	21.29396085	24.59333093	0.21	1.43	0.61	10.06	14.3858
SE1-D-12 	SE	1	T0	D	SE_D	6.49	0	51.17	1.96	54.11270822	21.29396085	24.59333093	0.21	1.43	0.61	9.12	13.0416
SE2-C-13   	SE	2	T0	C	SE_C	5.8	0	50.65	2.33	55.33847045	27.10659245	17.5549371	0.23	1.35	1.25	10.59	14.2965
SE2-D-14  	SE	2	T0	D	SE_D	5.8	0	47.95	2.33	55.33847045	27.10659245	17.5549371	0.23	1.35	1.25	11.25	15.1875
SE3-C-15 	SE	3	T0	C	SE_C	7.87	0	70.44	2.52	47.22773885	41.32265814	11.44960301	0.25	1.35	0.88	19.55	26.3925
